ds_name,method,noise_type,noise_level,random_state,accuracy_final,accuracy_max,auroc,fpr,fpr_50,fpr_10
sensorless_drive,cleanlab,asymmetric,0.1,44,0.993146353552445,0.993146353552445,0.9896141399857068,0.0095016134815346,0.004450530640191715,0.005128205128205128
cardiotocography,aum,asymmetric,0.1,44,0.9313264346190028,0.938381937911571,0.99067115989504,0.22556390977443608,0.026785714285714284,0.0
cardiotocography,naive,asymmetric,0.1,44,0.9313264346190028,0.938381937911571,0.9772469964007502,0.2463768115942029,0.17573221757322174,0.17573221757322174
cardiotocography,positive,asymmetric,0.1,44,0.9313264346190028,0.938381937911571,0.990456315343522,0.23134328358208955,0.035398230088495575,0.0
cardiotocography,entropy,asymmetric,0.1,44,0.9313264346190028,0.938381937911571,0.6654109927990866,0.8705216844751729,0.844950213371266,0.808695652173913
cardiotocography,cross_val,asymmetric,0.1,44,0.9313264346190028,0.938381937911571,0.9865782504894351,0.34394904458598724,0.09917355371900827,0.12
cardiotocography,normalized_margins,asymmetric,0.1,44,0.9313264346190028,0.938381937911571,0.9878311080426695,0.36809815950920244,0.07627118644067797,0.12
cardiotocography,cleanlab,asymmetric,0.1,44,0.9313264346190028,0.938381937911571,0.9377868114413173,0.8979303857008467,0.07627118644067797,0.12
credit_card_fraud,aum,asymmetric,0.1,44,0.9994557718033615,0.9995049278985418,0.9998219548022709,0.0020172382174949567,0.001603346113628442,0.0010460251046025104
credit_card_fraud,naive,asymmetric,0.1,44,0.9994557718033615,0.9995049278985418,0.9995072958290139,0.0028625287998324373,0.0028625287998324373,0.0028625287998324373
credit_card_fraud,positive,asymmetric,0.1,44,0.9994557718033615,0.9995049278985418,0.999821954734126,0.0020172382174949567,0.001603346113628442,0.0010460251046025104
credit_card_fraud,entropy,asymmetric,0.1,44,0.9994557718033615,0.9995049278985418,0.6293868228207982,0.8908005152963556,0.856285622541543,0.7242806274660765
credit_card_fraud,cross_val,asymmetric,0.1,44,0.9994557718033615,0.9995049278985418,0.999772397917611,0.0026025438950185113,0.0025073129962390303,0.004171011470281543
credit_card_fraud,normalized_margins,asymmetric,0.1,44,0.9994557718033615,0.9995049278985418,0.9997723977131762,0.0026025438950185113,0.0025073129962390303,0.004171011470281543
credit_card_fraud,cleanlab,asymmetric,0.1,44,0.9994557718033615,0.9995049278985418,0.8582224759068132,0.8994301404108748,0.0025073129962390303,0.004171011470281543
human_activity_recognition,aum,asymmetric,0.1,44,0.9868919312554617,0.987183221672007,0.9977863505841217,0.07883082373782108,0.010830324909747292,0.0
human_activity_recognition,naive,asymmetric,0.1,44,0.9868919312554617,0.987183221672007,0.9933993360043976,0.0704727921498662,0.012544802867383513,0.0
human_activity_recognition,positive,asymmetric,0.1,44,0.9868919312554617,0.987183221672007,0.9969785818752616,0.09800520381613183,0.014388489208633094,0.0
human_activity_recognition,entropy,asymmetric,0.1,44,0.9868919312554617,0.987183221672007,0.9784386974890805,0.2958700067704807,0.252387448840382,0.21428571428571427
human_activity_recognition,cross_val,asymmetric,0.1,44,0.9868919312554617,0.987183221672007,0.9995137115290355,0.02071563088512241,0.0,0.0
human_activity_recognition,normalized_margins,asymmetric,0.1,44,0.9868919312554617,0.987183221672007,0.999519168755296,0.022556390977443608,0.0,0.0
human_activity_recognition,cleanlab,asymmetric,0.1,44,0.9868919312554617,0.987183221672007,0.9878521151216764,0.017013232514177693,0.0,0.0
digits,aum,asymmetric,0.1,45,0.9293266555370061,0.9304396215915415,0.992380400005099,0.2184873949579832,0.010101010101010102,0.0
digits,naive,asymmetric,0.1,45,0.9293266555370061,0.9304396215915415,0.9578022027049421,0.890929326655537,0.009900990099009901,0.0
digits,positive,asymmetric,0.1,45,0.9293266555370061,0.9304396215915415,0.9913574424148173,0.2677165354330709,0.010101010101010102,0.047619047619047616
digits,entropy,asymmetric,0.1,45,0.9293266555370061,0.9304396215915415,0.9614462899463345,0.42592592592592593,0.3287671232876712,0.2857142857142857
digits,cross_val,asymmetric,0.1,45,0.9293266555370061,0.9304396215915415,0.987367589134342,0.34507042253521125,0.04854368932038835,0.047619047619047616
digits,normalized_margins,asymmetric,0.1,45,0.9293266555370061,0.9304396215915415,0.9901114099606113,0.28735632183908044,0.02,0.0
digits,cleanlab,asymmetric,0.1,45,0.9293266555370061,0.9304396215915415,0.9580603321903403,0.890929326655537,0.02,0.0
spirals,aum,asymmetric,0.1,45,0.95,0.9606666666666667,0.9911118656822573,0.23383084577114427,0.0,0.0
spirals,naive,asymmetric,0.1,45,0.95,0.9606666666666667,0.9483942165180723,0.737649063032368,0.0,0.0
spirals,positive,asymmetric,0.1,45,0.95,0.9606666666666667,0.9840454088679444,0.4166666666666667,0.0,0.0
spirals,entropy,asymmetric,0.1,45,0.95,0.9606666666666667,0.8891093970109806,0.7601246105919003,0.5519125683060109,0.2608695652173913
spirals,cross_val,asymmetric,0.1,45,0.95,0.9606666666666667,0.9858349661131276,0.4188679245283019,0.023809523809523808,0.0
spirals,normalized_margins,asymmetric,0.1,45,0.95,0.9606666666666667,0.9868306941187807,0.3984375,0.012048192771084338,0.0
spirals,cleanlab,asymmetric,0.1,45,0.95,0.9606666666666667,0.9426010985128321,0.8913333333333333,0.012048192771084338,0.0
letters,aum,asymmetric,0.1,45,0.92625,0.9272,0.9907489556382962,0.32041343669250644,0.019230769230769232,0.015228426395939087
letters,naive,asymmetric,0.1,45,0.92625,0.9272,0.9869238669831091,0.31588715664439493,0.05062240663900415,0.05062240663900415
letters,positive,asymmetric,0.1,45,0.92625,0.9272,0.9832303341351809,0.39757853403141363,0.10773480662983426,0.06280193236714976
